ID,DEMOG_AGE,DEMOG_REGION,DEMOG_ETHNICITY,DEMOG_RELIGION,RESPONDENT_WEIGHT,DEMOG_SOCIAL_GRADE,HEALTH_VULNERABILITY,PRIVATE_NON_CONTACT,PRIVATE_CONTACT,PUBLIC_NON_CONTACT,PUBLIC_CONTACT
0,45-54,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,1.193570742,Unemployed (for over 6 months) or not working due to long term sickness,1.193570742,0,0,0,0
1,,East of England,,,1.08703314,NOT COLLECTED,1.08703314,0,0,1.08703314,0
2,55-64,West Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.903330238,Supervisory or clerical/ junior managerial/ professional/ administrator,0.903330238,0,0,0.903330238,0
3,35-44,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.691588649,Higher managerial/professional/administrative,0,0,0,0.691588649,0
4,45-54,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,1.281886737,Semi or unskilled manual worker,0,0,0,1.281886737,0
5,25-34,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.611717201,Intermediate managerial/ professional/ administrative,0,0.611717201,0,0.611717201,0
6,65+,Scotland,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.777999232,Intermediate managerial/ professional/ administrative,0.777999232,0,0,0,0
7,25-34,North West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.838818227,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0,0,0,0
8,55-64,Scotland,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.465371757,Higher managerial/professional/administrative,0,0.465371757,0,0.465371757,0
9,35-44,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.691588649,Higher managerial/professional/administrative,0,0,0,0.691588649,0
10,45-54,East of England,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.614276276,Higher managerial/professional/administrative,0,0,0,0,0
11,45-54,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Other,0.786223072,Intermediate managerial/ professional/ administrative,0,0.786223072,0.786223072,0.786223072,0
12,45-54,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,1.193570742,Unemployed (for over 6 months) or not working due to long term sickness,0,0,0,1.193570742,0
13,25-34,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Muslim,0.597381727,Intermediate managerial/ professional/ administrative,0,0.597381727,0,0.597381727,0
14,45-54,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.673824156,Intermediate managerial/ professional/ administrative,0.673824156,0.673824156,0,0.673824156,0
15,45-54,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.658033218,Higher managerial/professional/administrative,0,0.658033218,0,0,0
16,45-54,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.786223072,Intermediate managerial/ professional/ administrative,0.786223072,0,0,0.786223072,0
17,45-54,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Other,0.658033218,Intermediate managerial/ professional/ administrative,0,0.658033218,0,0,0
18,45-54,London,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,1.165599644,Unemployed (for over 6 months) or not working due to long term sickness,1.165599644,0,0,0,0
19,45-54,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",,0.673824156,Intermediate managerial/ professional/ administrative,0.673824156,0.673824156,0,0,0
20,45-54,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,1.193570742,Unemployed (for over 6 months) or not working due to long term sickness,1.193570742,1.193570742,0,1.193570742,0
21,35-44,North East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Christian/Protestant/Methodist/Lutheran/Baptist,0.788988069,Intermediate managerial/ professional/ administrative,0,0,0,0.788988069,0
22,45-54,South West,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.786223072,Intermediate managerial/ professional/ administrative,0,0,0,0.786223072,0
23,45-54,East of England,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.614276276,Intermediate managerial/ professional/ administrative,0,0,0,0.614276276,0
24,45-54,East Midlands,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Nothing in particular,0.590473054,Intermediate managerial/ professional/ administrative,0,0,0,0,0
25,45-54,South East,"White - English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Any other White background",Atheist or agnostic,0.860324425,Supervisory or clerical/ junior managerial/ professional/ administrator,0,0.860324425,0,0.860324425,0
